,Unnamed: 0,label,area,mean_intensity_nuf2_GFP,fname_nuf2_GFP,nuf2_GFP_cyto,nuf2_GFP_bg,mean_intensity_mKate2_astrin,fname_mKate2_astrin,mKate2_astrin_cyto,mKate2_astrin_bg,mKate2_astrin@kt/mKate2_astrin@cyto,nuf2_GFP@kt/nuf2_GFP@cyto,mKate2_astrin@kt/mKate2_astrin@cyto:nuf2_GFP@kt/nuf2_GFP@cyto,condition,cell,Experiment
0,0,0_1,53,7935.622641509433,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,2630.349794476929,2192.59,4153.415094339623,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,3374.785023970778,2669.96,1.2307199021088184,3.016945753060007,0.40793570811160007,dmso,set3_astrin_dmso_cell_0,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D
1,1,0_2,60,8226.466666666667,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,2630.349794476929,2192.59,4113.65,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,3374.785023970778,2669.96,1.2189369013970175,3.127518128554678,0.3897457508776538,dmso,set3_astrin_dmso_cell_0,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D
2,2,0_3,61,9020.688524590163,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,2630.349794476929,2192.59,3648.819672131147,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,3374.785023970778,2669.96,1.081200623510513,3.4294634666200414,0.31526815609326386,dmso,set3_astrin_dmso_cell_0,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D
3,3,0_4,28,7137.428571428572,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,2630.349794476929,2192.59,3889.535714285714,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,3374.785023970778,2669.96,1.1525284385994103,2.713490269018733,0.42474021438676246,dmso,set3_astrin_dmso_cell_0,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D
4,4,0_5,30,8478.966666666667,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,2630.349794476929,2192.59,3274.133333333333,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,3374.785023970778,2669.96,0.9701753771210535,3.2235129656406754,0.30096834958075946,dmso,set3_astrin_dmso_cell_0,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D
5,5,0_6,21,8106.190476190476,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,2630.349794476929,2192.59,3484.190476190476,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,3374.785023970778,2669.96,1.0324184952352822,3.081791818415722,0.33500591735817664,dmso,set3_astrin_dmso_cell_0,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D
6,6,0_7,21,7426.095238095238,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,2630.349794476929,2192.59,5755.380952380952,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,3374.785023970778,2669.96,1.7054066885745394,2.823234861647741,0.6040612177688975,dmso,set3_astrin_dmso_cell_0,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D
7,7,0_8,26,8134.73076923077,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,2630.349794476929,2192.59,2956.0,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,3374.785023970778,2669.96,0.8759076441917966,3.0926421977455822,0.28322307857995976,dmso,set3_astrin_dmso_cell_0,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D
8,8,0_9,56,11258.446428571431,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,2630.349794476929,2192.59,4475.482142857143,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,3374.785023970778,2669.96,1.3261532545238341,4.280208834661963,0.30983377347955254,dmso,set3_astrin_dmso_cell_0,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D
9,9,0_10,45,9300.533333333333,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C0_T0.tif,2630.349794476929,2192.59,4413.666666666667,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D_Z00_C1_T0.tif,3374.785023970778,2669.96,1.3078363911528619,3.5358541867177156,0.3698784853927781,dmso,set3_astrin_dmso_cell_0,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_01_R3D_D3D
